show_id,show_date,country_raw,event_type_raw,status_raw,capacity,tickets_sold,ticket_price_raw,marketing_spend,fan_rating
RAW0067,2026-07-22,ghana,stadium show ,Completed ,27100,22220, 73 ,21722,4.6
RAW0068,2026-11-08,Ghana, Festival , COMPLETE ,15100,11500,$56,9154,
RAW0069,2026-02-18,JAPAN,FESTIVAL,completed,20000,15900,76 USD,18351,4.8
RAW0070,2026-06-04, Japan ,stadium show ,Complete,38500,32290,95,,4.4
RAW0071,2026-09-18,japan,STADIUM,Completed ,39500,31630, 99 ,23684,4.4
RAW0072,2026-01-05,South Korea,Club, COMPLETE ,2800,2440,$75,2277,
RAW0073,2026-04-19,south-korea,club-show,completed,2600,2140,68 USD,2413,4.5
RAW0074,2026-08-05,"KOREA, SOUTH",ARENA SHOW,Complete,12000,10060,FREE,11522,
RAW0075,2026-11-19,South Korea,Arena-Show,Completed ,11000,9810, 95 ,,4.4
RAW0076,2026-03-06,Singapore,stadium show ,cancelled ,41200,0,$99,22414,
RAW0077,2026-06-20,SINGAPORE,STADIUM,Canceled,43900,0,96 USD,35262,
RAW0078,2026-10-06, Singapore ,FESTIVAL,POSTPONED,19800,,78,19678,
RAW0079,2026-01-21,thailand,club-show, postponed,2800,, 76 ,1544,
RAW0080,2026-05-07,Thailand,ARENA SHOW, COMPLETE ,10900,9890,$93,,
RAW0081,2026-08-21,THAILAND,Arena-Show,completed,12300,10280,95 USD,9899,
RAW0082,2026-12-07, Thailand ,club-show,Complete,2600,2320,,1851,4.6
RAW0083,2026-03-22,india,STADIUM,Completed ,43100,34700, 96 ,0,4.4
RAW0084,2026-07-08,India,FESTIVAL, COMPLETE ,19500,17340,$78,15928,
RAW0085,2026-10-22,INDIA,festival-show,completed,23200,20920,78 USD,,4.7
RAW0086,2026-02-04, France ,STADIUM,Complete,56300,41100,117,42839,
RAW0087,2026-05-18,france,Stadium-Show,Completed ,58900,47290,TBD,44706,4.5
RAW0088,2026-09-04,France,festival-show, COMPLETE ,26300,18530,$107,27519,
RAW0089,2026-12-18,FRANCE,,completed,28800,18210,99 USD,14045,4.1
RAW0090,2026-04-05,United Kingdom ,Arena-Show,Complete,14900,11590,106,,
RAW0091,2026-07-19,great britain,arena show ,Completed ,15900,13030, 105 ,15478,4.5
RAW0092,2026-11-05,uk,CLUB SHOW , COMPLETE ,3400,2670,$86,2386,
RAW0093,2026-02-20,GERMANY,Stadium-Show,completed,52400,35280,114 USD,47741,4.0
RAW0094,2026-06-06, Germany ,festival-show,Complete,29000,,103,13943,4.4
RAW0095,2026-09-20,germany, Festival ,Completed ,27500,19520, 106 ,,4.3
RAW0096,2026-01-07,Spain,Arena-Show,CANCELLED,16500,0,$109,11078,
RAW0097,2026-04-21,SPAIN,arena show ,cancelled ,14000,0,114 USD,6666,
RAW0098,2026-08-07, Spain ,CLUB SHOW ,Postponed ,3400,,95,1580,
RAW0099,2026-11-21,spain,Club,POSTPONED,3700,, 85 ,0,
RAW0100,2026-03-08,Italy,festival-show, COMPLETE ,29600,20740,$106,,
RAW0101,2026-06-22,ITALY, Festival ,completed,29600,25380,96 USD,18470,4.8
RAW0102,2026-10-08, Italy ,Stadium-Show,Complete,60400,39550,118,61921,
RAW0103,2026-01-18,united-states,stadium show ,Completed ,47500,44180, 89 ,32917,4.6
RAW0104,2026-05-04, U.S. , Festival , COMPLETE ,20800,20400,$80,18258,
RAW0105,2026-08-18,USA,FESTIVAL,completed,21900,20980,75 USD,,4.7
RAW0106,2026-12-04,United States,stadium show ,Complete,38900,34890,86,20614,
RAW0107,2026-03-19,mexico,ARENA SHOW,Completed ,12800,10920, 78 ,0,4.7
RAW0108,2026-07-05,Mexico,Club, COMPLETE ,2900,2890,$63,2372,
RAW0109,2026-10-19,MEXICO,club-show,completed,2500,2490,68 USD,2194,4.7
RAW0110,2026-02-06, Brazil , Festival ,Complete,24500,21220,68,,
RAW0111,2026-05-20,brazil,FESTIVAL,Completed ,24400,24280,FREE,0,4.9
RAW0112,2026-09-06,Brazil,stadium show , COMPLETE ,45300,38760,$98,0,
RAW0113,2026-12-20,Atlantis,STADIUM,completed,40100,33980,92 USD,0,4.6
RAW0114,2026-04-07, Argentina ,Club,Complete,3000,2870,59,1741,4.8
RAW0115,2026-07-21,argentina,club-show,Completed ,2900,2890, 63 ,,4.7
RAW0116,2026-11-07,Argentina,ARENA SHOW,Canceled,11500,0,TBD,7565,
RAW0117,2026-02-22,COLOMBIA,FESTIVAL,CANCELLED,23300,0,73 USD,10964,
RAW0118,2026-06-08, Colombia ,stadium show , postponed,40000,,88,0,
RAW0119,2026-09-22,colombia,STADIUM,Postponed ,47500,, 95 ,40903,
RAW0120,2026-01-04,Nigeria,FESTIVAL, COMPLETE ,14200,11870,$58,,
RAW0121,2026-04-18,NIGERIA,festival-show,completed,17000,12470,60 USD,13795,4.2
RAW0122,2026-08-04, Nigeria ,STADIUM,Complete,32500,28380,67,33929,4.8
RAW0123,2026-11-18,nigeria,Stadium-Show,Completed ,31200,20590,,24779,4.2
RAW0124,2026-03-05,South Africa,club-show, COMPLETE ,2100,1710,$48,1414,
RAW0125,2026-06-19,SOUTH AFRICA,CLUB SHOW ,completed,2200,2010,37 USD,,4.8
RAW0126,2026-10-05, South Africa ,Arena-Show,Complete,8600,6800,62,5044,4.5
RAW0127,2026-01-20,kenya,festival-show,Completed ,14500,11850, 59 ,8162,
RAW0128,2026-05-06,Kenya,STADIUM, COMPLETE ,30400,24620,$76,24134,
RAW0129,2026-08-20,KENYA,Stadium-Show,completed,32200,28980,78 USD,15820,4.7
RAW0130,2026-12-06, Kenya ,festival-show,Complete,14000,11040,51,,4.3
RAW0131,2026-03-21,egypt,CLUB SHOW ,Completed ,2200,1840, 46 ,1600,4.6
RAW0132,2026-07-07,Egypt,Arena-Show, COMPLETE ,8200,7100,$60,0,
RAW0133,2026-10-21,EGYPT,arena show ,completed,8000,7230,58 USD,4074,4.5
RAW0134,2026-02-08, Ghana ,STADIUM,Complete,27900,20500,75,25785,4.4
RAW0135,2026-05-22,ghana,Stadium-Show,Completed ,27100,21530, 78 ,,4.4
RAW0136,2026-09-08,Ghana,festival-show,cancelled ,15900,0,$55,10427,
RAW0137,2026-12-22,GHANA, Festival ,Canceled,15800,0,49 USD,11529,
RAW0138,2026-04-04, Japan ,Stadium-Show,POSTPONED,39200,,96,0,
RAW0139,2026-07-18,japan,stadium show , postponed,46400,, 96 ,0,
RAW0140,2026-11-04,Japan, Festival , COMPLETE ,21800,17510,$81,,
RAW0141,2026-02-19,South Korea,Club,completed,2700,,73 USD,2489,4.7
RAW0142,2026-06-05,south-korea,arena show ,Complete,10600,9770,92,8047,4.3
RAW0143,2026-09-19,"KOREA, SOUTH",ARENA SHOW,Completed ,13200,10860, 90 ,7046,4.5
RAW0144,2026-01-06,Singapore,Stadium-Show, COMPLETE ,42400,34820,$102,0,
RAW0145,2026-04-20,SINGAPORE,stadium show ,completed,45400,36870,TBD,,4.9
RAW0146,2026-08-06, Singapore , Festival ,Complete,24200,22000,86,20900,4.7
RAW0147,2026-11-20,singapore,FESTIVAL,Completed ,20700,15920, 83 ,20732,4.6
RAW0148,2026-03-07,Thailand,arena show , COMPLETE ,12200,9060,FREE,0,
RAW0149,2026-06-21,THAILAND,ARENA SHOW,completed,13000,12250,95 USD,9119,4.6
RAW0150,2026-10-07, Thailand ,Club,Complete,3100,2570,76,,4.6
RAW0151,2026-01-22,india,stadium show ,Completed ,39800,31750, 103 ,34254,4.7
RAW0152,2026-05-08,India, Festival , COMPLETE ,24500,19880,$80,0,
RAW0153,2026-08-22,INDIA,FESTIVAL,completed,24200,22120,82 USD,18179,
RAW0154,2026-12-08, India ,stadium show ,Complete,40400,31120,102,0,
RAW0155,2026-03-18,france,STADIUM,Completed ,58500,36700, 120 ,,4.1
RAW0156,2026-07-04,France,FESTIVAL,CANCELLED,25500,0,$98,18477,
RAW0157,2026-10-18,FRANCE,festival-show,cancelled ,29400,0,106 USD,24070,
RAW0158,2026-02-05,United Kingdom ,ARENA SHOW,Postponed ,16500,,115,10065,
RAW0159,2026-05-19,great britain,Arena-Show,POSTPONED,16000,, 112 ,8338,
RAW0160,2026-09-05,uk,club-show, COMPLETE ,4000,3150,$86,,
RAW0161,2026-12-19,U.K.,CLUB SHOW ,completed,4100,3220,93 USD,4214,4.4
RAW0162,2026-04-06, Germany ,FESTIVAL,Complete,30300,21370,101,20808,4.3
RAW0163,2026-07-20,germany,festival-show,Completed ,31200,23990, 99 ,20517,4.5
RAW0164,2026-11-06,Germany,STADIUM, COMPLETE ,54100,35440,,29944,
RAW0165,2026-02-21,SPAIN,Arena-Show,completed,13700,10450,113 USD,,4.4
RAW0166,2026-06-07, Spain ,club-show,Complete,4000,3190,93,2797,4.4
RAW0167,2026-09-21,spain,CLUB SHOW ,Completed ,3400,2680, 86 ,0,4.5
RAW0168,2026-01-08,Italy,FESTIVAL, COMPLETE ,29100,23350,$96,24307,
RAW0169,2026-04-22,ITALY,festival-show,completed,25700,18180,103 USD,14937,4.2
RAW0170,2026-08-08, Italy ,STADIUM,Complete,48100,37650,121,,4.5
RAW0171,2026-11-22,italy,Stadium-Show,Completed ,52600,32800, 123 ,48839,4.5
RAW0172,2026-03-04, U.S. ,festival-show, COMPLETE ,20200,17940,$70,9429,
RAW0173,2026-06-18,, Festival ,completed,21600,21490,68 USD,18095,4.9
RAW0174,2026-10-04,United States,Stadium-Show,Complete,39600,34960,TBD,20513,4.7
RAW0175,2026-01-19,mexico,arena show ,Completed ,11400,9980, 85 ,,4.7
RAW0176,2026-05-05,Mexico,CLUB SHOW ,Canceled,3100,0,$60,2905,
RAW0177,2026-08-19,MEXICO,Club,CANCELLED,3000,0,62 USD,0,
RAW0178,2026-12-05, Mexico ,, postponed,12200,,87,11155,
RAW0179,2026-03-20,brazil, Festival ,Postponed ,21500,, 72 ,14777,
RAW0180,2026-07-06,Brazil,Stadium-Show, COMPLETE ,41100,38400,$98,,
RAW0181,2026-10-20,BRAZIL,stadium show ,completed,46600,38460,86 USD,32632,
RAW0182,2026-02-07, Argentina ,CLUB SHOW ,Complete,2600,2400,60,2688,4.6
RAW0183,2026-05-21,argentina,Club,Completed ,2900,2890, 62 ,1330,5.0
RAW0184,2026-09-07,Argentina,arena show , COMPLETE ,13600,12930,$83,8332,
RAW0185,2026-12-21,ARGENTINA,ARENA SHOW,completed,13100,12540,FREE,,5.0
RAW0186,2026-04-08, Colombia ,Stadium-Show,Complete,47300,40500,86,30281,4.5
RAW0187,2026-07-22,colombia,stadium show ,Completed ,39100,35650, 91 ,18152,4.6
RAW0188,2026-11-08,Colombia, Festival , COMPLETE ,24800,,$73,25072,
RAW0189,2026-02-18,NIGERIA,FESTIVAL,completed,14500,11540,50 USD,12849,4.3
RAW0190,2026-06-04, Nigeria ,stadium show ,Complete,31800,24680,74,,4.4
RAW0191,2026-09-18,nigeria,STADIUM,Completed ,32300,23320, 76 ,27748,
RAW0192,2026-01-05,South Africa,Club, COMPLETE ,2200,1860,$39,1537,
RAW0193,2026-04-19,SOUTH AFRICA,club-show,completed,1900,1660,45 USD,0,4.5
RAW0194,2026-08-05, South Africa ,ARENA SHOW,Complete,8700,7630,66,0,4.6
RAW0195,2026-11-19,south-africa,Arena-Show,Completed ,9100,7290, 62 ,,4.4
RAW0196,2026-03-06,Kenya,stadium show ,cancelled ,30700,0,$77,18068,
RAW0197,2026-06-20,KENYA,STADIUM,Canceled,31500,0,66 USD,29025,
RAW0198,2026-10-06, Kenya ,FESTIVAL,POSTPONED,16600,,59,0,
RAW0199,2026-01-21,egypt,club-show, postponed,2000,, 40 ,1649,
RAW0200,2026-05-07,Egypt,ARENA SHOW, COMPLETE ,9400,8410,$59,,
RAW0201,2026-08-21,EGYPT,Arena-Show,completed,8000,6800,60 USD,7865,4.5
RAW0202,2026-12-07, Egypt ,club-show,Complete,1800,1320,38,0,4.5
RAW0203,2026-03-22,ghana,STADIUM,Completed ,30500,24060,TBD,14569,4.3
RAW0204,2026-07-08,Ghana,FESTIVAL, COMPLETE ,15200,12040,$50,15930,
RAW0205,2026-10-22,GHANA,festival-show,completed,15700,11970,,,4.3
RAW0206,2026-02-04, Japan ,STADIUM,Complete,46300,39640,96,0,
RAW0207,2026-05-18,japan,Stadium-Show,Completed ,42800,38090, 96 ,36921,4.8
RAW0208,2026-09-04,Japan,festival-show, COMPLETE ,21000,15730,$80,17583,
RAW0209,2026-12-18,JAPAN, Festival ,completed,21900,18130,77 USD,12565,
RAW0210,2026-04-05,South Korea,Arena-Show,Complete,11000,10130,93,,4.3
RAW0211,2026-07-19,south-korea,arena show ,Completed ,11900,10560, 86 ,10857,4.6
RAW0212,2026-11-05,"KOREA, SOUTH",CLUB SHOW , COMPLETE ,2600,2170,$75,2265,
RAW0213,2026-02-20,SINGAPORE,Stadium-Show,completed,47000,38280,106 USD,23259,4.5
RAW0214,2026-06-06, Singapore ,festival-show,Complete,22700,19170,88,21662,
RAW0215,2026-09-20,singapore, Festival ,Completed ,21500,17450, 85 ,,4.8
RAW0216,2026-01-07,Thailand,Arena-Show,CANCELLED,12400,0,$88,10898,
RAW0217,2026-04-21,THAILAND,arena show ,cancelled ,12700,0,96 USD,11654,
RAW0218,2026-08-07, Thailand ,CLUB SHOW ,Postponed ,3000,,67,2774,
RAW0219,2026-11-21,thailand,Club,POSTPONED,2700,, 73 ,0,
RAW0220,2026-03-08,India,festival-show, COMPLETE ,23200,18550,$81,,
RAW0221,2026-06-22,INDIA, Festival ,completed,21900,18360,88 USD,9984,4.8
RAW0222,2026-10-08, India ,Stadium-Show,Complete,44900,35180,FREE,30323,4.2
RAW0223,2026-01-18,france,stadium show ,Completed ,54600,42540, 119 ,45124,4.5
RAW0224,2026-05-04,France, Festival , COMPLETE ,30600,24650,$102,21523,
RAW0225,2026-08-18,FRANCE,FESTIVAL,completed,30700,24590,108 USD,,4.5
RAW0226,2026-12-04,Atlantis,stadium show ,Complete,59700,44640,120,28773,4.3
RAW0227,2026-03-19,great britain,ARENA SHOW,Completed ,15000,11290, 113 ,15047,4.6
RAW0228,2026-07-05,uk,Club, COMPLETE ,3200,2670,$92,2641,
RAW0229,2026-10-19,U.K.,club-show,completed,3700,2570,87 USD,2368,4.5
RAW0230,2026-02-06, Germany , Festival ,Complete,26200,18920,108,,4.4
RAW0231,2026-05-20,germany,FESTIVAL,Completed ,28900,21400, 107 ,18454,4.7
RAW0232,2026-09-06,Germany,stadium show , COMPLETE ,52500,36580,TBD,48338,
RAW0233,2026-12-20,GERMANY,STADIUM,completed,58700,37910,117 USD,33242,4.7
RAW0234,2026-04-07, Spain ,Club,Complete,3600,3040,93,2094,4.4
RAW0235,2026-07-21,spain,club-show,Completed ,3700,, 85 ,,4.3
RAW0236,2026-11-07,Spain,ARENA SHOW,Canceled,17300,0,$113,17324,
RAW0237,2026-02-22,ITALY,FESTIVAL,CANCELLED,26700,0,99 USD,23944,
RAW0238,2026-06-08, Italy ,stadium show , postponed,56300,,119,43477,
RAW0239,2026-09-22,italy,STADIUM,Postponed ,60500,, 126 ,47594,
RAW0240,2026-01-04, U.S. ,FESTIVAL, COMPLETE ,20700,17800,$74,,
RAW0241,2026-04-18,USA,festival-show,completed,24500,21340,68 USD,17941,4.4
RAW0242,2026-08-04,United States,STADIUM,Complete,44500,41600,94,45875,4.7
RAW0243,2026-11-18,united-states,Stadium-Show,Completed ,42400,37350, 93 ,0,4.5
RAW0244,2026-03-05,Mexico,club-show, COMPLETE ,3000,2980,$59,2764,
RAW0245,2026-06-19,MEXICO,CLUB SHOW ,completed,2700,2640,60 USD,,4.8
RAW0246,2026-10-05, Mexico ,Arena-Show,Complete,12600,10420,,6428,4.6
RAW0247,2026-01-20,brazil,festival-show,Completed ,23600,22590, 70 ,21245,4.6
RAW0248,2026-05-06,Brazil,STADIUM, COMPLETE ,46900,40070,$93,35071,
RAW0249,2026-08-20,BRAZIL,Stadium-Show,completed,44200,40320,87 USD,45620,4.5
RAW0250,2026-12-06, Brazil ,festival-show,Complete,24200,21760,80,,4.8
RAW0251,2026-03-21,argentina,CLUB SHOW ,Completed ,2900,2860, 59 ,1962,4.8
RAW0252,2026-07-07,Argentina,Arena-Show, COMPLETE ,11100,10390,$83,5949,
RAW0253,2026-10-21,ARGENTINA,arena show ,completed,13600,12620,86 USD,12845,
RAW0254,2026-02-08, Colombia ,STADIUM,Complete,40600,34160,90,41287,4.3
RAW0255,2026-05-22,colombia,Stadium-Show,Completed ,46800,44630, 92 ,,4.7
RAW0256,2026-09-08,Colombia,festival-show,cancelled ,24700,0,$79,12956,
RAW0257,2026-12-22,COLOMBIA, Festival ,Canceled,25100,0,79 USD,19585,
RAW0258,2026-04-04, Nigeria ,Stadium-Show,POSTPONED,27900,,78,0,
RAW0259,2026-07-18,nigeria,stadium show , postponed,27100,, 78 ,28141,
RAW0260,2026-11-04,Nigeria, Festival , COMPLETE ,15300,11330,$53,,
RAW0261,2026-02-19,SOUTH AFRICA,Club,completed,2200,1830,TBD,0,4.3
RAW0262,2026-06-05, South Africa ,arena show ,Complete,8000,6510,66,7049,4.2
RAW0263,2026-09-19,south-africa,ARENA SHOW,Completed ,7700,6060, 56 ,5988,
RAW0264,2026-01-06,Kenya,Stadium-Show, COMPLETE ,27200,19680,$67,15609,
RAW0265,2026-04-20,KENYA,stadium show ,completed,31800,24300,70 USD,,4.4
RAW0266,2026-08-06, Kenya , Festival ,Complete,14400,12090,57,8896,
RAW0267,2026-11-20,kenya,,Completed ,16200,13780, 53 ,15469,4.7
RAW0268,2026-03-07,Egypt,arena show , COMPLETE ,9400,7240,$62,4251,
RAW0269,2026-06-21,EGYPT,ARENA SHOW,completed,8500,6960,64 USD,5482,4.2
RAW0270,2026-10-07, Egypt ,Club,Complete,2200,1760,45,,4.5
RAW0271,2026-01-22,ghana,stadium show ,Completed ,31300,24510, 67 ,20683,4.5
RAW0272,2026-05-08,Ghana, Festival , COMPLETE ,14000,11510,$48,6503,
RAW0273,2026-08-22,GHANA,FESTIVAL,completed,14400,12960,52 USD,10834,4.6
RAW0274,2026-12-08, Ghana ,stadium show ,Complete,29100,22490,73,16396,4.7
RAW0275,2026-03-18,japan,STADIUM,Completed ,44400,35080, 105 ,,4.6
RAW0276,2026-07-04,Japan,FESTIVAL,CANCELLED,20600,0,$77,0,
RAW0277,2026-10-18,JAPAN,festival-show,cancelled ,20700,0,88 USD,0,
RAW0278,2026-02-05,"KOREA, SOUTH",ARENA SHOW,Postponed ,10700,,92,0,
RAW0279,2026-05-19,South Korea,Arena-Show,POSTPONED,11200,, 88 ,11075,
RAW0280,2026-09-05,south-korea,club-show, COMPLETE ,3000,2510,$73,,
RAW0281,2026-12-19,"KOREA, SOUTH",CLUB SHOW ,completed,3100,2590,65 USD,0,4.7
RAW0282,2026-04-06, Singapore ,FESTIVAL,Complete,20700,,77,19708,4.5
RAW0283,2026-07-20,singapore,festival-show,Completed ,23800,17100, 85 ,17767,4.2
RAW0284,2026-11-06,Singapore,STADIUM, COMPLETE ,38600,32910,$94,35748,
RAW0285,2026-02-21,THAILAND,Arena-Show,completed,11800,10430,93 USD,,4.7
RAW0286,2026-06-07, Thailand ,club-show,Complete,3100,2820,64,2367,4.7
RAW0287,2026-09-21,thailand,CLUB SHOW ,Completed ,2500,1940,,2101,4.5
RAW0288,2026-01-08,India,FESTIVAL, COMPLETE ,20800,17010,$83,21836,
RAW0289,2026-04-22,INDIA,festival-show,completed,23900,21100,80 USD,0,4.4
RAW0290,2026-08-08, India ,STADIUM,Complete,46500,39750,TBD,,4.5
RAW0291,2026-11-22,india,Stadium-Show,Completed ,41100,31850, 99 ,0,4.5
RAW0292,2026-03-04,France,festival-show, COMPLETE ,25400,20520,$97,12630,
RAW0293,2026-06-18,FRANCE, Festival ,completed,30100,21790,104 USD,23224,4.1
RAW0294,2026-10-04, France ,Stadium-Show,Complete,55500,38460,123,34741,4.4
RAW0295,2026-01-19,great britain,arena show ,Completed ,17000,12270, 110 ,,4.4
RAW0296,2026-05-05,uk,CLUB SHOW ,Canceled,3700,0,$89,3787,
RAW0297,2026-08-19,U.K.,Club,CANCELLED,3800,0,86 USD,0,
RAW0298,2026-12-05,United Kingdom ,arena show , postponed,16100,,114,0,
RAW0299,2026-03-20,germany, Festival ,Postponed ,29900,, 102 ,19204,
RAW0300,2026-07-06,Germany,Stadium-Show, COMPLETE ,52800,41780,$119,,
RAW0301,2026-10-20,GERMANY,stadium show ,completed,54600,40080,122 USD,55562,4.3
RAW0302,2026-02-07, Spain ,CLUB SHOW ,Complete,4100,3140,87,2538,4.5
RAW0303,2026-05-21,spain,Club,Completed ,3700,2990, 86 ,2690,4.4
RAW0304,2026-09-07,Spain,arena show , COMPLETE ,15300,11690,$113,13025,
RAW0305,2026-12-21,SPAIN,ARENA SHOW,completed,16600,12740,113 USD,,4.5
RAW0306,2026-04-08, Italy ,Stadium-Show,Complete,55600,38760,120,0,
RAW0307,2026-07-22,italy,stadium show ,Completed ,54900,41310, 116 ,45853,4.4
RAW0308,2026-11-08,Italy, Festival , COMPLETE ,30700,23320,$106,0,
RAW0309,2026-02-18,USA,FESTIVAL,completed,20700,19620,73 USD,11304,4.6
RAW0310,2026-06-04,United States,stadium show ,Complete,45300,41970,95,,4.7
RAW0311,2026-09-18,united-states,STADIUM,Completed ,47800,38080, 86 ,46491,4.3
RAW0312,2026-01-05,Mexico,Club, COMPLETE ,3000,2680,$64,2208,
RAW0313,2026-04-19,MEXICO,club-show,completed,3000,2700,59 USD,0,4.5
RAW0314,2026-08-05, Mexico ,ARENA SHOW,Complete,11400,10690,76,0,4.8
RAW0315,2026-11-19,mexico,Arena-Show,Completed ,11400,10180, 76 ,,4.5
RAW0316,2026-03-06,Brazil,stadium show ,cancelled ,43200,0,$94,34747,
RAW0317,2026-06-20,BRAZIL,STADIUM,Canceled,46100,0,90 USD,47420,
