show_id,show_date,month,region,country,city,event_type,capacity,tickets_sold,ticket_price,marketing_spend,fan_rating
WS0080,2026-04-21,Apr,Asia,Thailand,Bangkok,Arena Show,12700,10730,96,11654,4.7
WS0081,2026-05-07,May,Asia,Thailand,Bangkok,Arena Show,10900,9890,93,10050,4.7
WS0082,2026-05-21,May,Asia,Thailand,Bangkok,Club Show,2500,2290,71,0,4.7
WS0083,2026-06-07,Jun,Asia,Thailand,Bangkok,Club Show,3100,2820,64,2367,4.7
WS0084,2026-06-21,Jun,Asia,Thailand,Bangkok,Arena Show,13000,12250,95,9119,4.6
WS0085,2026-07-07,Jul,Asia,Thailand,Bangkok,Arena Show,11500,10690,85,6942,
WS0086,2026-07-21,Jul,Asia,Thailand,Bangkok,Club Show,3000,2800,66,2410,4.7
WS0087,2026-08-07,Aug,Asia,Thailand,Bangkok,Club Show,3000,2840,67,2774,4.5
WS0088,2026-08-21,Aug,Asia,Thailand,Bangkok,Arena Show,12300,10280,95,9899,
WS0089,2026-09-07,Sep,Asia,Thailand,Bangkok,Arena Show,11700,11410,88,6176,4.5
WS0090,2026-09-21,Sep,Asia,Thailand,Bangkok,Club Show,2500,1940,74,2101,4.5
WS0091,2026-10-07,Oct,Asia,Thailand,Bangkok,Club Show,3100,2570,76,3250,4.6
WS0092,2026-10-21,Oct,Asia,Thailand,Bangkok,Arena Show,12900,11050,96,11968,4.5
WS0093,2026-11-07,Nov,Asia,Thailand,Bangkok,Arena Show,10800,9840,86,10019,4.7
WS0094,2026-11-21,Nov,Asia,Thailand,Bangkok,Club Show,2700,2450,73,0,4.7
WS0095,2026-12-07,Dec,Asia,Thailand,Bangkok,Club Show,2600,2320,68,1851,4.6
WS0096,2026-12-21,Dec,Asia,Thailand,Bangkok,Arena Show,13400,11780,92,6924,4.6
WS0097,2026-01-08,Jan,Asia,India,Mumbai,Festival,20800,17010,83,21836,4.5
WS0098,2026-01-22,Jan,Asia,India,Mumbai,Stadium Show,39800,31750,103,34254,4.7
WS0099,2026-02-08,Feb,Asia,India,Mumbai,Stadium Show,42200,31080,103,27877,4.5
WS0100,2026-02-22,Feb,Asia,India,Mumbai,Festival,20800,17840,88,12956,4.7
WS0101,2026-03-08,Mar,Asia,India,Mumbai,Festival,23200,18550,81,18327,4.5
WS0102,2026-03-22,Mar,Asia,India,Mumbai,Stadium Show,43100,34700,96,0,4.4
WS0103,2026-04-08,Apr,Asia,India,Mumbai,Stadium Show,44300,37250,100,0,
WS0104,2026-04-22,Apr,Asia,India,Mumbai,Festival,23900,21100,80,0,4.4
WS0105,2026-05-08,May,Asia,India,Mumbai,Festival,24500,19880,80,0,4.3
WS0106,2026-05-22,May,Asia,India,Mumbai,Stadium Show,45200,41290,94,24327,4.8
WS0107,2026-06-08,Jun,Asia,India,Mumbai,Stadium Show,44000,35350,106,0,4.4
WS0108,2026-06-22,Jun,Asia,India,Mumbai,Festival,21900,18360,88,9984,4.8
WS0109,2026-07-08,Jul,Asia,India,Mumbai,Festival,19500,17340,78,15928,5.0
WS0110,2026-07-22,Jul,Asia,India,Mumbai,Stadium Show,38000,30860,97,0,4.5
WS0111,2026-08-08,Aug,Asia,India,Mumbai,Stadium Show,46500,39750,97,26492,4.5
WS0112,2026-08-22,Aug,Asia,India,Mumbai,Festival,24200,22120,82,18179,
WS0113,2026-09-08,Sep,Asia,India,Mumbai,Festival,24100,19540,80,15235,4.6
WS0114,2026-09-22,Sep,Asia,India,Mumbai,Stadium Show,44400,30160,105,0,4.2
WS0115,2026-10-08,Oct,Asia,India,Mumbai,Stadium Show,44900,35180,104,30323,4.2
WS0116,2026-10-22,Oct,Asia,India,Mumbai,Festival,23200,20920,78,0,4.7
WS0117,2026-11-08,Nov,Asia,India,Mumbai,Festival,24000,23130,86,0,4.5
WS0118,2026-11-22,Nov,Asia,India,Mumbai,Stadium Show,41100,31850,99,0,4.5
WS0119,2026-12-08,Dec,Asia,India,Mumbai,Stadium Show,40400,31120,102,0,
WS0120,2026-12-22,Dec,Asia,India,Mumbai,Festival,21700,19380,81,13676,
WS0121,2026-01-04,Jan,Europe,France,Paris,Festival,29000,22140,106,26670,4.4
WS0122,2026-01-18,Jan,Europe,France,Paris,Stadium Show,54600,42540,119,45124,4.5
WS0123,2026-02-04,Feb,Europe,France,Paris,Stadium Show,56300,41100,117,42839,
WS0124,2026-02-18,Feb,Europe,France,Paris,Festival,30800,21880,100,16733,4.2
WS0125,2026-03-04,Mar,Europe,France,Paris,Festival,25400,20520,97,12630,4.3
WS0126,2026-03-18,Mar,Europe,France,Paris,Stadium Show,58500,36700,120,0,4.1
WS0127,2026-04-04,Apr,Europe,France,Paris,Stadium Show,49800,35740,126,27539,4.4
WS0128,2026-04-18,Apr,Europe,France,Paris,Festival,26800,20080,96,20893,
WS0129,2026-05-04,May,Europe,France,Paris,Festival,30600,24650,102,21523,4.3
WS0130,2026-05-18,May,Europe,France,Paris,Stadium Show,58900,47290,120,44706,4.5
WS0131,2026-06-04,Jun,Europe,France,Paris,Stadium Show,54100,35450,124,31429,4.2
WS0132,2026-06-18,Jun,Europe,France,Paris,Festival,30100,21790,104,23224,4.1
WS0133,2026-07-04,Jul,Europe,France,Paris,Festival,25500,18540,98,18477,4.5
WS0134,2026-07-18,Jul,Europe,France,Paris,Stadium Show,52600,41880,120,0,4.3
WS0135,2026-08-04,Aug,Europe,France,Paris,Stadium Show,58500,44660,122,50327,4.4
WS0136,2026-08-18,Aug,Europe,France,Paris,Festival,30700,24590,108,22819,4.5
WS0137,2026-09-04,Sep,Europe,France,Paris,Festival,26300,18530,107,27519,4.3
WS0138,2026-09-18,Sep,Europe,France,Paris,Stadium Show,57700,38790,116,55023,4.5
WS0139,2026-10-04,Oct,Europe,France,Paris,Stadium Show,55500,38460,123,34741,4.4
WS0140,2026-10-18,Oct,Europe,France,Paris,Festival,29400,21570,106,24070,4.3
WS0141,2026-11-04,Nov,Europe,France,Paris,Festival,29900,21620,97,13830,4.4
WS0142,2026-11-18,Nov,Europe,France,Paris,Stadium Show,56100,39340,120,35567,4.0
WS0143,2026-12-04,Dec,Europe,France,Paris,Stadium Show,59700,44640,120,28773,4.3
WS0144,2026-12-18,Dec,Europe,France,Paris,Festival,28800,18210,99,14045,4.1
WS0145,2026-01-05,Jan,Europe,United Kingdom,London,Club Show,3300,2530,96,0,
WS0146,2026-01-19,Jan,Europe,United Kingdom,London,Arena Show,17000,12270,110,16235,4.4
WS0147,2026-02-05,Feb,Europe,United Kingdom,London,Arena Show,16500,11610,115,10065,4.3
WS0148,2026-02-19,Feb,Europe,United Kingdom,London,Club Show,3400,2350,93,3495,4.3
WS0149,2026-03-05,Mar,Europe,United Kingdom,London,Club Show,3300,2670,92,1982,
WS0150,2026-03-19,Mar,Europe,United Kingdom,London,Arena Show,15000,11290,113,15047,4.6
WS0151,2026-04-05,Apr,Europe,United Kingdom,London,Arena Show,14900,11590,106,0,
WS0152,2026-04-19,Apr,Europe,United Kingdom,London,Club Show,3400,2620,87,2798,4.4
WS0153,2026-05-05,May,Europe,United Kingdom,London,Club Show,3700,3110,89,3787,4.7
WS0154,2026-05-19,May,Europe,United Kingdom,London,Arena Show,16000,13480,112,8338,4.6
WS0155,2026-06-05,Jun,Europe,United Kingdom,London,Arena Show,17200,15180,105,11231,4.5
WS0156,2026-06-19,Jun,Europe,United Kingdom,London,Club Show,3900,3430,91,0,4.8
WS0157,2026-07-05,Jul,Europe,United Kingdom,London,Club Show,3200,2670,92,2641,4.7
WS0158,2026-07-19,Jul,Europe,United Kingdom,London,Arena Show,15900,13030,105,15478,4.5
WS0159,2026-08-05,Aug,Europe,United Kingdom,London,Arena Show,14300,11180,108,8734,4.5
WS0160,2026-08-19,Aug,Europe,United Kingdom,London,Club Show,3800,2920,86,0,4.6
WS0161,2026-09-05,Sep,Europe,United Kingdom,London,Club Show,4000,3150,86,2138,4.4
WS0162,2026-09-19,Sep,Europe,United Kingdom,London,Arena Show,16500,12040,105,0,4.5
WS0163,2026-10-05,Oct,Europe,United Kingdom,London,Arena Show,14100,11370,104,0,
WS0164,2026-10-19,Oct,Europe,United Kingdom,London,Club Show,3700,2570,87,2368,4.5
WS0165,2026-11-05,Nov,Europe,United Kingdom,London,Club Show,3400,2670,86,2386,4.5
WS0166,2026-11-19,Nov,Europe,United Kingdom,London,Arena Show,17400,13750,108,10301,
WS0167,2026-12-05,Dec,Europe,United Kingdom,London,Arena Show,16100,12730,114,0,4.7
WS0168,2026-12-19,Dec,Europe,United Kingdom,London,Club Show,4100,3220,93,4214,4.4
WS0169,2026-01-06,Jan,Europe,Germany,Berlin,Stadium Show,60200,41880,118,0,4.3
WS0170,2026-01-20,Jan,Europe,Germany,Berlin,Festival,29000,20080,96,23954,4.5
WS0171,2026-02-06,Feb,Europe,Germany,Berlin,Festival,26200,18920,108,21322,4.4
WS0172,2026-02-20,Feb,Europe,Germany,Berlin,Stadium Show,52400,35280,114,47741,4.0
WS0173,2026-03-06,Mar,Europe,Germany,Berlin,Stadium Show,59500,48220,125,49712,5.0
WS0174,2026-03-20,Mar,Europe,Germany,Berlin,Festival,29900,21910,102,19204,4.5
WS0175,2026-04-06,Apr,Europe,Germany,Berlin,Festival,30300,21370,101,20808,4.3
WS0176,2026-04-20,Apr,Europe,Germany,Berlin,Stadium Show,49400,36750,114,38497,4.5
WS0177,2026-05-06,May,Europe,Germany,Berlin,Stadium Show,56700,37120,116,28820,4.4
WS0178,2026-05-20,May,Europe,Germany,Berlin,Festival,28900,21400,107,18454,4.7
WS0179,2026-06-06,Jun,Europe,Germany,Berlin,Festival,29000,22320,103,13943,4.4
WS0180,2026-06-20,Jun,Europe,Germany,Berlin,Stadium Show,49900,37030,117,25286,4.5
WS0181,2026-07-06,Jul,Europe,Germany,Berlin,Stadium Show,52800,41780,119,35137,4.6
WS0182,2026-07-20,Jul,Europe,Germany,Berlin,Festival,31200,23990,99,20517,4.5
WS0183,2026-08-06,Aug,Europe,Germany,Berlin,Festival,27200,19780,105,25121,4.2
WS0184,2026-08-20,Aug,Europe,Germany,Berlin,Stadium Show,61100,46070,115,0,4.4
WS0185,2026-09-06,Sep,Europe,Germany,Berlin,Stadium Show,52500,36580,125,48338,4.3
WS0186,2026-09-20,Sep,Europe,Germany,Berlin,Festival,27500,19520,106,26855,4.3
WS0187,2026-10-06,Oct,Europe,Germany,Berlin,Festival,25200,19580,105,16268,4.4
WS0188,2026-10-20,Oct,Europe,Germany,Berlin,Stadium Show,54600,40080,122,55562,4.3
WS0189,2026-11-06,Nov,Europe,Germany,Berlin,Stadium Show,54100,35440,115,29944,4.1
WS0190,2026-11-20,Nov,Europe,Germany,Berlin,Festival,30100,22230,107,21441,4.5
WS0191,2026-12-06,Dec,Europe,Germany,Berlin,Festival,26200,18420,102,16297,4.2
WS0192,2026-12-20,Dec,Europe,Germany,Berlin,Stadium Show,58700,37910,117,33242,4.7
WS0193,2026-01-07,Jan,Europe,Spain,Madrid,Arena Show,16500,12690,109,11078,
WS0194,2026-01-21,Jan,Europe,Spain,Madrid,Club Show,3400,2910,86,1795,4.3
WS0195,2026-02-07,Feb,Europe,Spain,Madrid,Club Show,4100,3140,87,2538,4.5
WS0196,2026-02-21,Feb,Europe,Spain,Madrid,Arena Show,13700,10450,113,0,4.4
WS0197,2026-03-07,Mar,Europe,Spain,Madrid,Arena Show,15800,11760,105,11823,4.3
WS0198,2026-03-21,Mar,Europe,Spain,Madrid,Club Show,3800,3060,88,3832,4.5
WS0199,2026-04-07,Apr,Europe,Spain,Madrid,Club Show,3600,3040,93,2094,4.4
WS0200,2026-04-21,Apr,Europe,Spain,Madrid,Arena Show,14000,11440,114,6666,
WS0201,2026-05-07,May,Europe,Spain,Madrid,Arena Show,16200,13320,109,10519,
WS0202,2026-05-21,May,Europe,Spain,Madrid,Club Show,3700,2990,86,2690,4.4
WS0203,2026-06-07,Jun,Europe,Spain,Madrid,Club Show,4000,3190,93,2797,4.4
WS0204,2026-06-21,Jun,Europe,Spain,Madrid,Arena Show,14200,10970,112,8773,
WS0205,2026-07-07,Jul,Europe,Spain,Madrid,Arena Show,15800,13370,110,13499,4.5
WS0206,2026-07-21,Jul,Europe,Spain,Madrid,Club Show,3700,3080,85,2405,4.3
WS0207,2026-08-07,Aug,Europe,Spain,Madrid,Club Show,3400,2950,95,1580,4.5
WS0208,2026-08-21,Aug,Europe,Spain,Madrid,Arena Show,16600,14320,113,11076,4.4
WS0209,2026-09-07,Sep,Europe,Spain,Madrid,Arena Show,15300,11690,113,13025,4.6
WS0210,2026-09-21,Sep,Europe,Spain,Madrid,Club Show,3400,2680,86,0,4.5
WS0211,2026-10-07,Oct,Europe,Spain,Madrid,Club Show,3900,2950,94,2706,4.6
WS0212,2026-10-21,Oct,Europe,Spain,Madrid,Arena Show,15800,12290,106,11327,4.5
WS0213,2026-11-07,Nov,Europe,Spain,Madrid,Arena Show,17300,14040,113,17324,4.7
WS0214,2026-11-21,Nov,Europe,Spain,Madrid,Club Show,3700,2910,85,0,4.5
WS0215,2026-12-07,Dec,Europe,Spain,Madrid,Club Show,3400,2540,91,3485,4.5
WS0216,2026-12-21,Dec,Europe,Spain,Madrid,Arena Show,16600,12740,113,16773,4.5
WS0217,2026-01-08,Jan,Europe,Italy,Milan,Festival,29100,23350,96,24307,
WS0218,2026-01-22,Jan,Europe,Italy,Milan,Stadium Show,56300,35570,118,57169,4.1
WS0219,2026-02-08,Feb,Europe,Italy,Milan,Stadium Show,54000,39580,120,0,
WS0220,2026-02-22,Feb,Europe,Italy,Milan,Festival,26700,21650,99,23944,4.6
WS0221,2026-03-08,Mar,Europe,Italy,Milan,Festival,29600,20740,106,13666,
WS0222,2026-03-22,Mar,Europe,Italy,Milan,Stadium Show,53800,39320,114,55184,4.4
WS0223,2026-04-08,Apr,Europe,Italy,Milan,Stadium Show,55600,38760,120,0,
WS0224,2026-04-22,Apr,Europe,Italy,Milan,Festival,25700,18180,103,14937,4.2
WS0225,2026-05-08,May,Europe,Italy,Milan,Festival,26100,19290,104,21941,4.3
WS0226,2026-05-22,May,Europe,Italy,Milan,Stadium Show,48400,36510,126,22118,4.3
WS0227,2026-06-08,Jun,Europe,Italy,Milan,Stadium Show,56300,41410,119,43477,4.2
WS0228,2026-06-22,Jun,Europe,Italy,Milan,Festival,29600,25380,96,18470,4.8
WS0229,2026-07-08,Jul,Europe,Italy,Milan,Festival,29000,21730,97,0,
WS0230,2026-07-22,Jul,Europe,Italy,Milan,Stadium Show,54900,41310,116,45853,4.4
WS0231,2026-08-08,Aug,Europe,Italy,Milan,Stadium Show,48100,37650,121,23255,4.5
WS0232,2026-08-22,Aug,Europe,Italy,Milan,Festival,29200,22240,104,22721,4.2
WS0233,2026-09-08,Sep,Europe,Italy,Milan,Festival,28600,21540,105,18635,4.4
WS0234,2026-09-22,Sep,Europe,Italy,Milan,Stadium Show,60500,37860,126,47594,
WS0235,2026-10-08,Oct,Europe,Italy,Milan,Stadium Show,60400,39550,118,61921,
WS0236,2026-10-22,Oct,Europe,Italy,Milan,Festival,26400,20360,103,14416,
WS0237,2026-11-08,Nov,Europe,Italy,Milan,Festival,30700,23320,106,0,4.4
WS0238,2026-11-22,Nov,Europe,Italy,Milan,Stadium Show,52600,32800,123,48839,4.5
WS0239,2026-12-08,Dec,Europe,Italy,Milan,Stadium Show,50000,37850,120,30796,4.1
WS0240,2026-12-22,Dec,Europe,Italy,Milan,Festival,25700,18270,108,0,4.3
WS0241,2026-01-04,Jan,America,United States,Los Angeles,Festival,20700,17800,74,14108,4.4
WS0242,2026-01-18,Jan,America,United States,Los Angeles,Stadium Show,47500,44180,89,32917,4.6
WS0243,2026-02-04,Feb,America,United States,Los Angeles,Stadium Show,44500,36480,89,37347,4.6
WS0244,2026-02-18,Feb,America,United States,Los Angeles,Festival,20700,19620,73,11304,4.6
WS0245,2026-03-04,Mar,America,United States,Los Angeles,Festival,20200,17940,70,9429,4.2
WS0246,2026-03-18,Mar,America,United States,Los Angeles,Stadium Show,41200,39980,88,20029,4.8
WS0247,2026-04-04,Apr,America,United States,Los Angeles,Stadium Show,40800,34220,88,40240,4.4
WS0248,2026-04-18,Apr,America,United States,Los Angeles,Festival,24500,21340,68,17941,4.4
WS0249,2026-05-04,May,America,United States,Los Angeles,Festival,20800,20400,80,18258,4.5
WS0250,2026-05-18,May,America,United States,Los Angeles,Stadium Show,40300,34220,98,0,
WS0251,2026-06-04,Jun,America,United States,Los Angeles,Stadium Show,45300,41970,95,0,4.7
WS0252,2026-06-18,Jun,America,United States,Los Angeles,Festival,21600,21490,68,18095,4.9
WS0253,2026-07-04,Jul,America,United States,Los Angeles,Festival,22800,22460,72,22234,5.0
WS0254,2026-07-18,Jul,America,United States,Los Angeles,Stadium Show,42600,40360,90,27297,4.8
WS0255,2026-08-04,Aug,America,United States,Los Angeles,Stadium Show,44500,41600,94,45875,4.7
WS0256,2026-08-18,Aug,America,United States,Los Angeles,Festival,21900,20980,75,21602,4.7
WS0257,2026-09-04,Sep,America,United States,Los Angeles,Festival,23600,22990,78,13164,4.7
WS0258,2026-09-18,Sep,America,United States,Los Angeles,Stadium Show,47800,38080,86,46491,4.3
WS0259,2026-10-04,Oct,America,United States,Los Angeles,Stadium Show,39600,34960,91,20513,4.7
WS0260,2026-10-18,Oct,America,United States,Los Angeles,Festival,24200,23340,76,21082,4.7
WS0261,2026-11-04,Nov,America,United States,Los Angeles,Festival,23200,21040,78,19463,4.7
WS0262,2026-11-18,Nov,America,United States,Los Angeles,Stadium Show,42400,37350,93,0,4.5
WS0263,2026-12-04,Dec,America,United States,Los Angeles,Stadium Show,38900,34890,86,20614,
WS0264,2026-12-18,Dec,America,United States,Los Angeles,Festival,21500,19130,78,9780,4.5
WS0265,2026-01-05,Jan,America,Mexico,Mexico City,Club Show,3000,2680,64,2208,4.7
WS0266,2026-01-19,Jan,America,Mexico,Mexico City,Arena Show,11400,9980,85,10741,4.7
WS0267,2026-02-05,Feb,America,Mexico,Mexico City,Arena Show,12100,11470,87,0,4.8
WS0268,2026-02-19,Feb,America,Mexico,Mexico City,Club Show,2700,2670,60,1406,4.9
WS0269,2026-03-05,Mar,America,Mexico,Mexico City,Club Show,3000,2980,59,2764,4.7
WS0270,2026-03-19,Mar,America,Mexico,Mexico City,Arena Show,12800,10920,78,0,4.7
WS0271,2026-04-05,Apr,America,Mexico,Mexico City,Arena Show,11400,10550,82,0,4.6
WS0272,2026-04-19,Apr,America,Mexico,Mexico City,Club Show,3000,2700,59,0,4.5
WS0273,2026-05-05,May,America,Mexico,Mexico City,Club Show,3100,2990,60,2905,4.9
WS0274,2026-05-19,May,America,Mexico,Mexico City,Arena Show,12900,12430,85,0,5.0
WS0275,2026-06-05,Jun,America,Mexico,Mexico City,Arena Show,11800,11670,88,10851,4.8
WS0276,2026-06-19,Jun,America,Mexico,Mexico City,Club Show,2700,2640,60,1942,4.8
WS0277,2026-07-05,Jul,America,Mexico,Mexico City,Club Show,2900,2890,63,2372,4.8
WS0278,2026-07-19,Jul,America,Mexico,Mexico City,Arena Show,11200,11140,86,5966,4.8
WS0279,2026-08-05,Aug,America,Mexico,Mexico City,Arena Show,11400,10690,76,0,4.8
WS0280,2026-08-19,Aug,America,Mexico,Mexico City,Club Show,3000,2910,62,0,4.8
WS0281,2026-09-05,Sep,America,Mexico,Mexico City,Club Show,3000,2980,60,0,4.7
WS0282,2026-09-19,Sep,America,Mexico,Mexico City,Arena Show,12500,11760,86,8490,4.8
WS0283,2026-10-05,Oct,America,Mexico,Mexico City,Arena Show,12600,10420,79,6428,4.6
WS0284,2026-10-19,Oct,America,Mexico,Mexico City,Club Show,2500,2490,68,2194,4.7
WS0285,2026-11-05,Nov,America,Mexico,Mexico City,Club Show,3000,2800,58,2168,4.8
